,row,git_commit,gh_project_name,gh_is_pr,git_merged_with,gh_lang,git_branch,gh_first_commit_created_at,gh_team_size,git_commits,git_num_commits,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,gh_src_churn,gh_test_churn,gh_files_added,gh_files_deleted,gh_files_modified,gh_tests_added,gh_tests_deleted,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,tr_build_id,gh_pull_req_num,tr_status,tr_duration,tr_started_at,tr_jobs,tr_build_number,tr_job_id,tr_lan,tr_setup_time,tr_analyzer,tr_frameworks,tr_tests_ok,tr_tests_fail,tr_tests_run,tr_tests_skipped,tr_failed_tests,tr_testduration,tr_purebuildduration,tr_tests_ran,tr_tests_failed,git_num_committers,tr_num_jobs,tr_prev_build,tr_ci_latency
2,3,7086c22bb72fa58e07968a292b3c06adce0491c2,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:41:08,3,c069748ad3fc29acf59422faeeac87281ea98a19,1,0,0,0,10,0,0,0,1,0,0,1,0,0,0,2318,0.0,0.0,0.0,True,,10297653,,errored,50.0,2013-08-16 23:41:08,"[10297655, 10297654, 10297657, 10297656]",15,10297655,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
69,70,8c95d75168f2ea1cff49ae809c4baa6b2725bc8a,47deg/appsly-android-rest,False,,java,master,2013-11-15 08:06:18,4,13ad8c06bef212b9270eea5547a109da87e4e866,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,14011914,,errored,45.0,2013-11-15 08:06:18,"[14011915, 14011916, 14011917, 14011918]",32,14011916,java,0.0,java-ant,,,,,,,,,False,False,1,4,5122.0,-1
14,15,c08c4cdee730059ef0ddc0c55a6c5b6e7538af26,47deg/appsly-android-rest,False,,java,master,2013-08-17 00:48:52,3,0f45173135d6f5df5ab422627910211fb5b589b1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2318,0.0,0.0,0.0,True,,10297759,,errored,49.0,2013-08-16 23:48:52,"[10297762, 10297763, 10297761, 10297760]",18,10297760,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
27,28,3ab53e42f0fb599832a0963a39ca94547239d89a,47deg/appsly-android-rest,False,,java,master,2013-09-04 12:58:38,3,47e39ce40e3f03718e7ef9101701cccfe8610c33,1,0,0,0,217,0,2,0,4,0,0,5,0,1,9,2355,0.0,0.0,0.0,True,,10971867,,errored,86.0,2013-09-04 11:58:38,"[10971868, 10971870, 10971871, 10971869]",21,10971869,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
81,82,c67e65a39f0e87f546b9ece9c82a332b357fc034,47deg/appsly-android-rest,False,,java,master,2013-12-06 12:01:02,4,f88e4b1eee613a8f6719bf274d44e23736779572,1,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1756,161.731207289294,3.41685649202733,9.11161731207289,True,,15034917,,errored,44.0,2013-12-06 12:01:02,"[15034918, 15034919, 15034920, 15034921]",35,15034918,java,0.0,java-ant,,,,,,,,,False,False,1,4,3417.0,-1
26,27,3ab53e42f0fb599832a0963a39ca94547239d89a,47deg/appsly-android-rest,False,,java,master,2013-09-04 12:58:38,3,47e39ce40e3f03718e7ef9101701cccfe8610c33,1,0,0,0,217,0,2,0,4,0,0,5,0,1,9,2355,0.0,0.0,0.0,True,,10971867,,errored,86.0,2013-09-04 11:58:38,"[10971868, 10971870, 10971871, 10971869]",21,10971870,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
94,95,2ad0a07de67a6e18822359489a65995dc21f3e95,47deg/appsly-android-rest,False,,java,master,2013-12-09 22:48:02,4,118a09f9365a522e9a2284ee4837ee6724c53657,1,0,0,0,21,0,0,0,3,0,0,3,0,0,2,2114,120.624408703879,1.41911069063387,4.25733207190161,True,,15195446,,errored,51.0,2013-12-09 22:48:02,"[15195447, 15195450, 15195451, 15195452]",39,15195450,java,0.0,java-ant,,,,,,,,,False,False,1,4,5304.0,-1
16,17,5f7b19300c6ee2ccb9797631b35499ac1c3c3f4a,47deg/appsly-android-rest,False,,java,master,2013-09-03 09:58:11,3,c41522d6742c3d6ccd7811f48fe1e92d05bb3afc#b0fda02be8899b089edaa29b67b8f6139ee786ba#c08c4cdee730059ef0ddc0c55a6c5b6e7538af26,3,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2318,0.0,0.0,0.0,True,,10925289,,errored,43.0,2013-09-03 08:58:11,"[10925292, 10925290, 10925291, 10925293]",19,10925292,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
50,51,295f858a9a55e943ab884b4019174fd432878722,47deg/appsly-android-rest,False,,java,master,2013-10-24 09:27:38,4,903e8acc57d6eadc1d4bb9a4e353f08bd190edfe,1,0,0,0,22,0,0,0,1,0,0,1,0,0,4,2507,84.5632229756681,0.797766254487435,4.38771439968089,True,,12973497,,errored,55.0,2013-10-24 08:27:38,"[12973498, 12973499, 12973500, 12973501]",29,12973500,java,0.0,java-ant,,,,,,,,,False,False,1,4,4658.0,-1
90,91,118a09f9365a522e9a2284ee4837ee6724c53657,47deg/appsly-android-rest,False,,java,master,2013-12-07 04:25:50,4,53ec6d1aa7113c8b405cdd262ea6d934448a43d7,1,0,0,0,130,0,3,0,4,0,0,7,0,0,2,2003,127.309036445332,1.49775336994508,4.49326010983525,True,,15076178,,errored,50.0,2013-12-07 04:25:50,"[15076179, 15076180, 15076184, 15076186]",38,15076179,java,0.0,java-ant,,,,,,,,,False,False,1,4,-1.0,-1
